STATION_ID,DATE TIME,VALUE
LAN,20101201 0000,8.83
LAN,20110101 0000,0.81
LAN,20110201 0000,1.47
LAN,20110301 0000,4.04
LAN,20110401 0000,0.00
LAN,20110501 0000,0.53
LAN,20110601 0000,0.02
LAN,20110701 0000,0.00
LAN,20110801 0000,0.00
LAN,20110901 0000,0.01
LAN,20111001 0000,0.63
LAN,20111101 0000,1.69
LAN,20111201 0000,0.67
LAN,20120101 0000,1.19
LAN,20120201 0000,0.12
LAN,20120301 0000,1.78
LAN,20120401 0000,1.51
LAN,20120501 0000,0.01
LAN,20120601 0000,0.00
LAN,20120701 0000,0.00
LAN,20120801 0000,0.00
LAN,20120901 0000,0.00
LAN,20121001 0000,0.15
LAN,20121101 0000,1.31
LAN,20121201 0000,2.82
LAN,20130101 0000,1.30
LAN,20130201 0000,0.20
LAN,20130301 0000,0.66
LAN,20130401 0000,0.06
LAN,20130501 0000,0.39
LAN,20130601 0000,0.00
LAN,20130701 0000,0.03
LAN,20130801 0000,0.00
LAN,20130901 0000,0.00
LAN,20131001 0000,0.02
LAN,20131101 0000,0.69
LAN,20131201 0000,0.30
LAN,20140101 0000,0.00
LAN,20140201 0000,2.79
LAN,20140301 0000,0.36
LAN,20140401 0000,0.26
LAN,20140501 0000,0.00
LAN,20140601 0000,0.00
LAN,20140701 0000,0.14
LAN,20140801 0000,0.03
LAN,20140901 0000,0.02
LAN,20141001 0000,0.24
LAN,20141101 0000,0.42
LAN,20141201 0000,4.04
LAN,20150101 0000,1.25
LAN,20150201 0000,0.27
LAN,20150301 0000,0.49
LAN,20150401 0000,0.11
LAN,20150501 0000,0.43
LAN,20150601 0000,0.01
LAN,20150701 0000,0.35
LAN,20150801 0000,0.00
LAN,20150901 0000,1.81
LAN,20151001 0000,0.10
LAN,20151101 0000,0.06
LAN,20151201 0000,1.08
LAN,20160101 0000,2.94
LAN,20160201 0000,0.73
LAN,20160301 0000,1.46
LAN,20160401 0000,0.29
LAN,20160501 0000,0.59
LAN,20160601 0000,0.00
LAN,20160701 0000,0.00
LAN,20160801 0000,0.00
LAN,20160901 0000,0.01
LAN,20161001 0000,0.36
LAN,20161101 0000,1.11
LAN,20161201 0000,2.78
LAN,20170101 0000,7.44
LAN,20170201 0000,4.04
LAN,20170301 0000,0.08
LAN,20170401 0000,0.38
LAN,20170501 0000,0.13
LAN,20170601 0000,0.00
LAN,20170701 0000,0.00
LAN,20170801 0000,0.00
LAN,20170901 0000,0.08
LAN,20171001 0000,0.00
LAN,20171101 0000,0.10
LAN,20171201 0000,0.01
LAN,20180101 0000,1.40
LAN,20180201 0000,0.10
LAN,20180301 0000,2.07
LAN,20180401 0000,0.05
LAN,20180501 0000,0.06
LAN,20180601 0000,0.00
LAN,20180701 0000,0.00
LAN,20180801 0000,0.00
LAN,20180901 0000,0.00
LAN,20181001 0000,0.58
LAN,20181101 0000,2.09
LAN,20181201 0000,1.45
LAN,20190101 0000,5.52
LAN,20190201 0000,4.42
LAN,20190301 0000,2.10
LAN,20190401 0000,0.05
LAN,20190501 0000,0.73
LAN,20190601 0000,0.00
LAN,20190701 0000,0.05
LAN,20190801 0000,0.00
LAN,20190901 0000,0.00
LAN,20191001 0000,0.00
LAN,20191101 0000,1.43
LAN,20191201 0000,4.42
LAN,20200101 0000,0.00
LAN,20200201 0000,0.00
LAN,20200301 0000,0.00
LAN,20200401 0000,0.02
LAN,20200501 0000,0.12
LAN,20200601 0000,0.47
LAN,20200701 0000,0.00
LAN,20200801 0000,0.00
LAN,20200901 0000,0.00
LAN,20201001 0000,0.00
LAN,20201101 0000,0.10
LAN,20201201 0000,1.65
LAN,20210101 0000,1.98
LAN,20210201 0000,0.21
LAN,20210301 0000,1.33
LAN,20210401 0000,0.00
LAN,20210501 0000,0.00
LAN,20210601 0000,0.00
LAN,20210701 0000,0.12
LAN,20210801 0000,0.01
LAN,20210901 0000,0.00
LAN,20211001 0000,0.47
LAN,20211101 0000,0.00
LAN,20211201 0000,3.93
LAN,20220101 0000,0.09
LAN,20220201 0000,0.04
LAN,20220301 0000,1.10
LAN,20220401 0000,0.23
LAN,20220501 0000,0.00
LAN,20220601 0000,0.01
LAN,20220701 0000,0.00
LAN,20220801 0000,0.00
LAN,20220901 0000,0.13
LAN,20221001 0000,0.24
LAN,20221101 0000,1.77
LAN,20221201 0000,1.92
LAN,20230101 0000,7.53
LAN,20230201 0000,4.41
LAN,20230301 0000,7.60
LAN,20230401 0000,0.09
LAN,20230501 0000,0.28
LAN,20230601 0000,0.01
LAN,20230701 0000,0.00
LAN,20230801 0000,2.57
LAN,20230901 0000,0.05
LAN,20231001 0000,0.00
LAN,20231101 0000,0.13
LAN,20231201 0000,3.34
LAN,20240101 0000,1.95
LAN,20240201 0000,10.02
LAN,20240301 0000,3.27
LAN,20240401 0000,0.30
LAN,20240501 0000,0.12
LAN,20240601 0000,0.00
LAN,20240701 0000,0.00
LAN,20240801 0000,0.00
LAN,20240901 0000,0.00
LAN,20241001 0000,0.00
LAN,20241101 0000,---
CRZ,20101201 0000,9.37
CRZ,20110101 0000,2.19
CRZ,20110201 0000,5.75
CRZ,20110301 0000,10.87
CRZ,20110401 0000,0.66
CRZ,20110501 0000,1.53
CRZ,20110601 0000,2.35
CRZ,20110701 0000,0.01
CRZ,20110801 0000,0.06
CRZ,20110901 0000,0.05
CRZ,20111001 0000,2.63
CRZ,20111101 0000,2.54
CRZ,20111201 0000,0.13
CRZ,20120101 0000,3.68
CRZ,20120201 0000,0.94
CRZ,20120301 0000,7.38
CRZ,20120401 0000,3.10
CRZ,20120501 0000,0.06
CRZ,20120601 0000,0.19
CRZ,20120701 0000,0.03
CRZ,20120801 0000,0.00
CRZ,20120901 0000,0.02
CRZ,20121001 0000,0.53
CRZ,20121101 0000,5.56
CRZ,20121201 0000,7.95
CRZ,20130101 0000,0.90
CRZ,20130201 0000,0.31
CRZ,20130301 0000,1.45
CRZ,20130401 0000,0.93
CRZ,20130501 0000,0.02
CRZ,20130601 0000,0.16
CRZ,20130701 0000,0.03
CRZ,20130801 0000,0.00
CRZ,20130901 0000,0.19
CRZ,20131001 0000,0.07
CRZ,20131101 0000,0.72
CRZ,20131201 0000,0.29
CRZ,20140101 0000,0.05
CRZ,20140201 0000,7.19
CRZ,20140301 0000,3.76
CRZ,20140401 0000,1.21
CRZ,20140501 0000,0.04
CRZ,20140601 0000,0.02
CRZ,20140701 0000,0.13
CRZ,20140801 0000,0.00
CRZ,20140901 0000,0.92
CRZ,20141001 0000,0.84
CRZ,20141101 0000,3.83
CRZ,20141201 0000,11.49
CRZ,20150101 0000,0.00
CRZ,20150201 0000,2.85
CRZ,20150301 0000,0.51
CRZ,20150401 0000,1.98
CRZ,20150501 0000,0.10
CRZ,20150601 0000,0.01
CRZ,20150701 0000,0.03
CRZ,20150801 0000,0.03
CRZ,20150901 0000,0.03
CRZ,20151001 0000,0.08
CRZ,20151101 0000,4.42
CRZ,20151201 0000,6.43
CRZ,20160101 0000,11.80
CRZ,20160201 0000,1.03
CRZ,20160301 0000,7.65
CRZ,20160401 0000,0.89
CRZ,20160501 0000,0.25
CRZ,20160601 0000,0.00
CRZ,20160701 0000,0.01
CRZ,20160801 0000,0.04
CRZ,20160901 0000,0.03
CRZ,20161001 0000,4.89
CRZ,20161101 0000,2.83
CRZ,20161201 0000,7.84
CRZ,20170101 0000,15.72
CRZ,20170201 0000,12.96
CRZ,20170301 0000,4.48
CRZ,20170401 0000,2.16
CRZ,20170501 0000,0.03
CRZ,20170601 0000,0.10
CRZ,20170701 0000,0.02
CRZ,20170801 0000,0.02
CRZ,20170901 0000,0.06
CRZ,20171001 0000,0.07
CRZ,20171101 0000,2.75
CRZ,20171201 0000,0.18
CRZ,20180101 0000,5.29
CRZ,20180201 0000,0.32
CRZ,20180301 0000,6.89
CRZ,20180401 0000,3.98
CRZ,20180501 0000,0.04
CRZ,20180601 0000,0.03
CRZ,20180701 0000,0.00
CRZ,20180801 0000,0.00
CRZ,20180901 0000,0.01
CRZ,20181001 0000,0.05
CRZ,20181101 0000,2.40
CRZ,20181201 0000,3.89
CRZ,20190101 0000,6.69
CRZ,20190201 0000,11.00
CRZ,20190301 0000,7.22
CRZ,20190401 0000,0.69
CRZ,20190501 0000,4.33
CRZ,20190601 0000,0.01
CRZ,20190701 0000,0.05
CRZ,20190801 0000,0.00
CRZ,20190901 0000,0.13
CRZ,20191001 0000,0.00
CRZ,20191101 0000,1.67
CRZ,20191201 0000,12.25
CRZ,20200101 0000,0.39
CRZ,20200201 0000,0.13
CRZ,20200301 0000,0.09
CRZ,20200401 0000,2.77
CRZ,20200501 0000,1.63
CRZ,20200601 0000,0.00
CRZ,20200701 0000,0.00
CRZ,20200801 0000,0.01
CRZ,20200901 0000,0.00
CRZ,20201001 0000,0.00
CRZ,20201101 0000,1.23
CRZ,20201201 0000,2.18
CRZ,20210101 0000,7.57
CRZ,20210201 0000,1.16
CRZ,20210301 0000,2.31
CRZ,20210401 0000,0.10
CRZ,20210501 0000,0.03
CRZ,20210601 0000,0.00
CRZ,20210701 0000,0.00
CRZ,20210801 0000,0.00
CRZ,20210901 0000,0.00
CRZ,20211001 0000,5.28
CRZ,20211101 0000,2.21
CRZ,20211201 0000,9.67
CRZ,20220101 0000,0.69
CRZ,20220201 0000,0.02
CRZ,20220301 0000,0.14
CRZ,20220401 0000,2.38
CRZ,20220501 0000,0.00
CRZ,20220601 0000,0.02
CRZ,20220701 0000,0.00
CRZ,20220801 0000,0.00
CRZ,20220901 0000,---
CRZ,20221001 0000,0.00
CRZ,20221101 0000,2.40
CRZ,20221201 0000,13.00
CRZ,20230101 0000,15.11
CRZ,20230201 0000,5.61
CRZ,20230301 0000,14.00
CRZ,20230401 0000,0.28
CRZ,20230501 0000,1.43
CRZ,20230601 0000,0.03
CRZ,20230701 0000,0.00
CRZ,20230801 0000,0.00
CRZ,20230901 0000,0.07
CRZ,20231001 0000,0.32
CRZ,20231101 0000,1.59
CRZ,20231201 0000,6.91
CRZ,20240101 0000,7.46
CRZ,20240201 0000,9.91
CRZ,20240301 0000,6.10
CRZ,20240401 0000,1.68
CRZ,20240501 0000,0.90
CRZ,20240601 0000,0.00
CRZ,20240701 0000,0.00
CRZ,20240801 0000,0.00
CRZ,20240901 0000,0.00
CRZ,20241001 0000,---
CRZ,20241101 0000,---
